Longitude,Latitude,Value
83.343379,54.431207,30170
83.078425,54.77003,51923
83.043052,54.851118,49413
82.935141,55.046701,60483
83.103127,54.842537,157597
82.947897,55.1749,38889
83.054885,54.979598,64468
83.086205,54.763596,54452
83.093312,54.864238,93815
82.968366,55.0516,66709
82.900994,55.064091,50639
83.022229,55.00838,65371
82.940175,55.060878,81633
82.96281,55.106052,56994
82.905366,55.039827,79198
83.078978,54.734106,50000
82.953802,55.050165,97277
83.008486,54.941452,49473
83.327409,54.362312,22571
83.006807,55.021505,59298
82.992901,54.927138,75793
82.931333,55.026621,100761
83.02313,55.026086,69554
82.943378,55.046762,80793
82.901594,55.120978,71468
82.71436,55.304547,40000
83.142085,55.189878,45722
82.832861,54.990854,60760
83.049762,54.855738,68726
82.915084,55.033832,86827
82.838505,54.955783,46352
83.087832,54.863848,63617
82.934619,55.028234,93271
83.108112,54.760459,49976
82.91917,54.936632,58051
82.866888,54.970538,67154
82.964672,55.011206,57213
82.996056,55.171373,35785
82.868225,54.977696,48387
82.896944,55.052788,66091
82.938523,55.015235,106746
83.008611,55.01674,52741
82.878507,55.041,24026
83.059704,54.749019,55397
82.97065,54.862472,53294
82.86294,54.823703,94595
83.085564,54.975326,74526
82.960987,54.998039,63209
82.852318,54.990571,60382
82.954433,54.9688,41636
83.053723,54.954335,45726
83.070746,54.724666,48810
83.087288,54.862611,66920
82.912959,55.03101,86474
83.095076,54.744869,50732
83.105694,54.962537,37903
82.90253,54.935397,49394
82.728657,55.315601,43245
82.882625,55.040945,46014
82.986476,54.860765,48723
82.739101,55.309077,39670
82.978919,54.927194,47492
83.029404,55.002686,71677
82.920342,55.021375,87132
82.882989,54.935757,65801
82.789921,54.982022,60513
83.176861,55.171919,34524
82.942265,55.046591,99210
82.861577,54.982417,66842
82.851422,54.990476,76520
82.870123,54.983256,62167
82.963858,54.997052,58353
82.196327,55.018379,30000
83.370678,54.229684,23033
82.917782,55.063254,62687
82.98327,55.032573,44175
82.917743,55.07818,35965
82.963288,55.026785,45066
82.951032,55.030168,69230
83.290759,55.202529,37611
83.101535,54.865477,75626
82.894774,55.061646,68132
82.710322,54.991607,50780
82.954665,55.04377,66024
82.971282,55.047747,82025
82.876158,54.975709,60462
82.420888,54.997112,30952
82.882545,54.982208,59455
82.755323,55.307128,42633
82.882753,55.045807,51567
82.959869,54.960021,60017
82.917194,55.040373,89232
82.900883,55.036929,66845
83.059858,54.962872,59523
82.938242,55.048241,85333
82.990563,54.928952,72873
83.388311,54.22056,35505
82.940112,55.027128,75812
82.827158,54.986466,72112
82.870798,54.979054,92684
82.977214,55.075054,79769
82.91716,55.051402,74520
81.154487,54.383237,8341
82.75675,55.31368,46580
82.867953,54.99847,38889
82.906279,55.033174,100187
83.092909,54.765019,46575
82.90206,55.061885,82000
82.778366,54.88688,40625
82.99294,54.924506,73932
83.146874,55.201316,44615
83.097763,54.836148,125926
83.053647,54.738728,35000
82.206647,55.006492,32872
83.093926,54.760214,70175
83.016747,55.004272,62069
83.109255,54.840643,109529
83.07612,54.973985,65758
83.053836,54.74111,40508
82.218505,55.014343,49980
82.835073,54.920782,58071
83.092972,54.763652,43156
82.914984,55.118939,61111
82.888588,54.986671,67943
82.904988,54.931011,51446
82.799846,55.023947,27358
82.71651,54.991771,48438
83.106711,54.839519,116009
83.076051,54.73321,59091
83.107871,54.96753,46610
82.638981,54.693562,26230
82.973285,55.037601,66131
82.832513,54.992989,67442
83.107477,54.837974,91228
82.18941,55.005127,37500
82.985703,54.930482,71880
82.898794,55.061465,69767
82.638382,55.085653,43095
83.09281,54.871648,66761
82.944727,55.039686,72827
83.056706,54.74887,45982
83.100958,54.84105,98534
82.958351,55.006971,68363
82.968892,55.081308,77773
82.910535,55.040589,86791
83.362555,54.191007,18269
82.968296,55.028546,60669
82.701933,54.982224,49211
82.955752,55.013941,65410
82.999403,55.168513,38054
83.004763,54.883507,49016
82.869243,54.993712,60854
83.062229,54.747274,49458
82.860688,54.980691,52238
83.103916,54.886824,52810
82.545428,54.841562,27911
82.970691,54.849851,51502
82.962355,55.175245,53779
83.05693,54.742001,48489
82.907552,55.10403,141973
82.819312,54.990489,44524
83.337801,54.503565,28333
82.973272,55.057699,63182
83.082265,54.763014,46023
82.654024,55.088851,42999
82.843241,55.141214,52521
82.694828,54.994812,56427
83.114469,54.904908,37179
82.920922,54.927798,52625
83.332885,54.570911,25833
83.073589,54.77173,63542
82.905963,55.042782,88696
82.88772,54.991836,58911
82.91157,54.985897,58818
82.897343,55.037226,82372
82.904742,55.036184,75515
82.952557,54.966001,57555
82.907686,55.065746,84178
83.112089,54.839324,90313
82.943491,54.941479,76451
82.988006,55.049348,63514
83.112824,54.762109,48713
83.097467,54.866795,79248
82.945251,55.048595,91176
83.007198,54.943675,50926
82.904963,55.057376,71569
82.990704,55.039945,68889
82.849793,55.147408,55648
83.094344,54.863961,87240
83.215981,54.98389,42857
82.977555,55.075579,79339
82.923602,55.073211,65557
82.957222,55.014697,57163
83.104337,54.83837,51000
83.193185,54.966405,58383
82.64285,55.085142,41025
83.082662,54.871009,58210
83.105364,54.865006,76950
82.991823,54.924033,63208
82.885538,54.936924,68560
82.971316,55.110214,63191
82.947855,55.110308,61668
82.939397,55.022872,83134
82.985651,55.163263,30000
83.057786,54.749271,44915
82.978803,55.033728,66765
82.968406,55.069913,68750
82.928313,55.036513,84153
83.179998,54.944766,54444
82.924001,55.029145,105122
82.9944,55.168033,46450
83.07648,54.761202,52295
82.964124,54.960217,60044
83.039637,54.785532,84000
82.954575,55.17842,40741
82.917749,54.936719,51970
82.909717,55.220297,35954
83.007959,54.880932,55127
82.882123,54.947183,76333
83.061689,54.746184,51852
82.887316,55.049889,73922
82.892047,54.988672,56574
82.885084,55.044076,94748
82.884931,55.069441,50000
83.324125,54.367879,18561
82.838454,54.91513,51500
82.98176,55.039218,64908
82.92427,55.068551,70723
82.927116,54.934638,52593
83.124366,54.933147,46667
82.973677,54.858627,52316
82.844766,54.990559,67603
82.970122,55.098885,62391
82.96006,55.068598,64351
83.234938,55.070427,31646
82.925964,55.023218,78760
82.87671,54.96863,20876
82.930863,55.035304,114717
82.958477,54.961409,54437
82.935444,55.061139,94931
82.91613,54.939667,54182
